leg_exp,site,samples,core_comp_photo,core_closeup_img
22,212,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=22&site=212,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=22&site=212,not available
22,213,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=22&site=213,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=22&site=213,not available
22,214,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=22&site=214,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=22&site=214,not available
22,215,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=22&site=215,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=22&site=215,not available
22,216,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=22&site=216,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=22&site=216,not available
22,217,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=22&site=217,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=22&site=217,not available
22,218,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=22&site=218,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=22&site=218,not available
23,219,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=219,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=219,not available
23,220,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=220,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=220,not available
23,221,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=221,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=221,not available
23,222,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=222,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=222,not available
23,223,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=223,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=223,not available
