leg_exp,site,samples,core_comp_photo,core_closeup_img,ts_img
190,1174,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=190&site=1174,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=190&site=1174,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=190&site=1174,no data available
190,1175,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=190&site=1175,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=190&site=1175,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=190&site=1175,no data available
190,1176,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=190&site=1176,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=190&site=1176,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=190&site=1176,no data available
190,1177,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=190&site=1177,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=190&site=1177,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=190&site=1177,no data available
190,1178,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=190&site=1178,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=190&site=1178,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=190&site=1178,no data available
191,1179,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=191&site=1179,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=191&site=1179,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=191&site=1179,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=191&site=1179
191,1180,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=191&site=1180,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=191&site=1180,no data available,no data available
191,1181,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=191&site=1181,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=191&site=1181,no data available,no data available
191,1182,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=191&site=1182,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=191&site=1182,no data available,no data available
192,1183,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=192&site=1183,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=192&site=1183,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=192&site=1183,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=192&site=1183
192,1184,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=192&site=1184,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=192&site=1184,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=192&site=1184,no data available
192,1185,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=192&site=1185,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=192&site=1185,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=192&site=1185,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=192&site=1185
192,1186,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=192&site=1186,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=192&site=1186,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=192&site=1186,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=192&site=1186
