"Title","Keywords","Creator","Notes","Duration","Special","YouTube.Link","YouTube.Channel","Exp.or.Group"
"JR Profiles Episode 5 Joshu Mountjoy, Marine Geologist","Interviews/Career Paths",NA,NA,"00:03:03",NA,"https://www.youtube.com/watch?v=9zv91KhXe24","The JOIDES Resolution","372"
"JR Profiles Episode 5 Joshu Mountjoy, Marine Geologist","Science",NA,NA,"00:03:03",NA,"https://www.youtube.com/watch?v=9zv91KhXe24","The JOIDES Resolution","372"
"JR Profiles Episode 6 David McNamara, Structural Geologist","Interviews/Career Paths",NA,NA,"00:04:05",NA,"https://www.youtube.com/watch?v=uJnD61zGkMQ","The JOIDES Resolution","372"
"JR Profiles Episode 6 David McNamara, Structural Geologist","Science",NA,NA,"00:04:05",NA,"https://www.youtube.com/watch?v=uJnD61zGkMQ","The JOIDES Resolution","372"
"JR Profiles Episode 7 Aggeliki Georgiopoulou","Science",NA,NA,"00:03:47",NA,"https://www.youtube.com/watch?v=I1KvggjVOzY","The JOIDES Resolution","372"
"JR Profiles Episode 7 Aggeliki Georgiopoulou","Interviews/Career Paths",NA,NA,"00:03:47",NA,"https://www.youtube.com/watch?v=I1KvggjVOzY","The JOIDES Resolution","372"
"JR Tour with Mitch Malone (wmv)","Life Boats",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Drilling/Rigfloor",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Life at Sea",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Labs",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Science",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Catwalk",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Bridge",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Gangway/Pier",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Core Flow",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Interviews/Career Paths",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Derrick",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Core Splitting",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Thrusters/DP",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"JR Tour with Mitch Malone (wmv)","Steel Beach",NA,NA,"00:16:01",NA,"unavailable - contact JRSO/USSSP","NA","General"
"Kevin Grigar: What is an operations superintendent?","Interviews/Career Paths",NA,NA,"00:02:42",NA,"https://www.youtube.com/watch?v=whJtLm8kCDY","The JOIDES Resolution","General"
"Kevin Grigar: What is an operations superintendent?","Drilling/Rigfloor",NA,NA,"00:02:42",NA,"https://www.youtube.com/watch?v=whJtLm8kCDY","The JOIDES Resolution","General"
"Kevin Grigar: What is an operations superintendent?","Ocean",NA,NA,"00:02:42",NA,"https://www.youtube.com/watch?v=whJtLm8kCDY","The JOIDES Resolution","General"
"Kevin Grigar: What is an operations superintendent?","Moonpool",NA,NA,"00:02:42",NA,"https://www.youtube.com/watch?v=whJtLm8kCDY","The JOIDES Resolution","General"
"Kevin Grigar: What is an operations superintendent?","Derrick",NA,NA,"00:02:42",NA,"https://www.youtube.com/watch?v=whJtLm8kCDY","The JOIDES Resolution","General"
